iter	Passed	Remaining
0	0	288
1	0	259
2	0	249
3	0	243
4	1	236
5	1	231
6	1	240
7	1	242
8	2	242
9	2	239
10	2	238
11	2	242
12	3	242
13	3	243
14	3	241
15	3	238
16	4	236
17	4	233
18	4	231
19	4	232
20	4	231
21	5	231
22	5	229
23	5	228
24	5	229
25	6	228
26	6	227
27	6	226
28	6	224
29	6	223
30	7	224
31	7	224
32	7	223
33	7	222
34	8	223
35	8	224
36	8	223
37	8	223
38	9	223
39	9	223
40	9	224
41	9	224
42	10	224
43	10	224
44	10	223
45	10	222
46	10	221
47	11	221
48	11	221
49	11	220
50	11	220
51	12	219
52	12	218
53	12	218
54	12	217
55	12	217
56	13	217
57	13	216
58	13	215
59	13	215
60	13	215
61	14	214
62	14	214
63	14	213
64	14	213
65	15	213
66	15	212
67	15	212
68	15	212
69	15	212
70	16	211
71	16	211
72	16	210
73	16	209
74	17	209
75	17	210
76	17	209
77	17	209
78	17	209
79	18	208
80	18	208
81	18	207
82	18	206
83	18	205
84	19	205
85	19	205
86	19	204
87	19	204
88	19	204
89	20	203
90	20	203
91	20	203
92	20	203
93	21	203
94	21	203
95	21	202
96	21	203
97	22	202
98	22	202
99	22	202
100	22	202
101	22	201
102	23	201
103	23	201
104	23	201
105	23	200
106	24	201
107	24	200
108	24	200
109	24	199
110	24	200
111	25	199
112	25	199
113	25	199
114	25	199
115	26	198
116	26	198
117	26	198
118	26	198
119	26	197
120	27	197
121	27	197
122	27	196
123	27	196
124	28	197
125	28	196
126	28	196
127	28	195
128	28	195
129	29	195
130	29	195
131	29	194
132	29	194
133	30	194
134	30	194
135	30	193
136	30	193
137	30	193
138	31	193
139	31	192
140	31	192
141	31	191
142	31	191
143	32	191
144	32	190
145	32	190
146	32	190
147	33	190
148	33	190
149	33	189
150	33	189
151	33	189
152	34	189
153	34	188
154	34	188
155	34	188
156	34	187
157	35	187
158	35	187
159	35	187
160	35	186
161	35	185
162	36	185
163	36	185
164	36	185
165	36	184
166	37	184
167	37	184
168	37	184
169	37	183
170	37	183
171	38	183
172	38	183
173	38	182
174	38	182
175	38	182
176	39	182
177	39	181
178	39	181
179	39	181
180	39	180
181	40	180
182	40	180
183	40	180
184	40	180
185	41	179
186	41	179
187	41	179
188	41	179
189	41	178
190	42	178
191	42	178
192	42	178
193	42	177
194	43	177
195	43	177
196	43	177
197	43	176
198	43	176
199	44	176
200	44	176
201	44	175
202	44	175
203	44	175
204	45	175
205	45	175
206	45	174
207	45	174
208	46	174
209	46	174
210	46	174
211	46	173
212	46	173
213	47	173
214	47	173
215	47	172
216	47	172
217	48	172
218	48	172
219	48	171
220	48	171
221	48	171
222	49	171
223	49	170
224	49	170
225	49	170
226	49	170
227	50	169
228	50	169
229	50	169
230	50	169
231	51	169
232	51	169
233	51	168
234	51	168
235	51	168
236	52	168
237	52	167
238	52	167
239	53	168
240	53	167
241	53	167
242	53	167
243	53	167
244	54	166
245	54	166
246	54	166
247	54	166
248	55	165
249	55	165
250	55	165
251	55	165
252	55	164
253	56	164
254	56	164
255	56	164
256	56	164
257	57	164
258	57	163
259	57	163
260	57	163
261	57	163
262	58	162
263	58	162
264	58	162
265	58	162
266	59	162
267	59	161
268	59	161
269	59	161
270	59	161
271	60	160
272	60	160
273	60	160
274	60	160
275	60	159
276	61	159
277	61	159
278	61	159
279	61	159
280	62	158
281	62	158
282	62	158
283	62	158
284	62	157
285	63	157
286	63	157
287	63	157
288	63	156
289	63	156
290	64	156
291	64	156
292	64	156
293	64	155
294	65	155
295	65	155
296	65	155
297	65	154
298	66	154
299	66	154
300	66	154
301	66	154
302	66	154
303	67	153
304	67	153
305	67	153
306	67	153
307	68	152
308	68	152
309	68	152
310	68	152
311	68	151
312	69	151
313	69	151
314	69	151
315	69	151
316	69	150
317	70	150
318	70	150
319	70	150
320	70	149
321	71	149
322	71	149
323	71	149
324	71	148
325	71	148
326	72	148
327	72	148
328	72	148
329	72	147
330	73	147
331	73	147
332	73	147
333	73	146
334	73	146
335	74	146
336	74	146
337	74	145
338	74	145
339	74	145
340	75	145
341	75	145
342	75	145
343	76	144
344	76	144
345	76	144
346	76	144
347	76	144
348	77	143
349	77	143
350	77	143
351	77	143
352	77	142
353	78	142
354	78	142
355	78	142
356	78	142
357	79	141
358	79	141
359	79	141
360	79	141
361	80	142
362	81	142
363	81	141
364	81	141
365	81	141
366	81	141
367	82	140
368	82	140
369	82	140
370	82	140
371	83	140
372	83	139
373	83	139
374	83	139
375	83	139
376	84	139
377	84	138
378	84	138
379	84	138
380	84	138
381	85	137
382	85	137
383	85	137
384	85	137
385	86	136
386	86	136
387	86	136
388	86	136
389	86	135
390	87	135
391	87	135
392	87	135
393	87	134
394	88	134
395	88	134
396	88	134
397	88	134
398	88	133
399	89	133
400	89	133
401	89	133
402	89	133
403	90	132
404	90	132
405	90	132
406	90	131
407	90	131
408	91	131
409	91	131
410	91	131
411	91	130
412	91	130
413	92	130
414	92	130
415	92	129
416	92	129
417	92	129
418	93	129
419	93	128
420	93	128
421	93	128
422	93	128
423	94	127
424	94	127
425	94	127
426	94	127
427	95	126
428	95	126
429	95	126
430	95	126
431	95	126
432	96	125
433	96	125
434	96	125
435	96	125
436	97	125
437	97	124
438	97	124
439	97	124
440	97	124
441	98	123
442	98	123
443	98	123
444	98	123
445	98	122
446	99	122
447	99	122
448	99	122
449	99	122
450	100	121
451	100	121
452	100	121
453	100	121
454	100	120
455	101	120
456	101	120
457	101	120
458	101	120
459	102	119
460	102	119
461	102	119
462	102	119
463	102	118
464	103	118
465	103	118
466	103	118
467	103	117
468	103	117
469	104	117
470	104	117
471	104	117
472	104	116
473	105	116
474	105	116
475	105	116
476	105	116
477	106	115
478	106	115
479	106	115
